key	selectors	sites	note
ref-resolves-to-component	schema.$ref:resolves-to-component	src/ir.rs::resolve_ref_from_schemas,src/ir.rs::InlineHoister::prop_type_ref[if let Some\(target\) = resolve_ref_from_schemas]	`hoist_union_variant`'s annotated-`$ref` item arm is `annotated-ref-shape`'s, not every resolving `$ref`'s
oneof-discriminated-union	schema.oneOf:discriminated-union	src/ir.rs::Builder::discriminated_union,src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::inferred_union_discriminant_property,src/ir.rs::Builder::nested_array_element[^\s*\) \{$],src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$],src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$]	
anyof-discriminated-union	schema.anyOf:discriminated-union	src/ir.rs::Builder::discriminated_union,src/ir.rs::Builder::discriminated_union[if schema.discriminator.is_some\(\) && schema.one_of.is_none\(\) \{],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::inferred_union_discriminant_property,src/ir.rs::Builder::nested_array_element[^\s*\) \{$],src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$],src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$]	
inheritance-discriminated-union	schema.discriminator:inheritance-union	src/ir.rs::Builder::inheritance_discriminated_union,src/ir.rs::Builder::discriminated_union[if schema.one_of.is_none\(\) && schema.any_of.is_none\(\) \{],src/ir.rs::is_inheritance_union_base,src/ir.rs::Builder::nested_array_element[^\s*\) \{$]	
array-item-oneof-discriminated-union	schema.items>schema.oneOf:discriminated-union	src/ir.rs::Builder::nested_array_element[^\s*\) \{$],src/ir.rs::Builder::discriminated_union	
array-item-anyof-discriminated-union	schema.items>schema.anyOf:discriminated-union	src/ir.rs::Builder::nested_array_element[^\s*\) \{$],src/ir.rs::Builder::discriminated_union	
oneof-array-variant-oneof-discriminated-union-item	schema.oneOf>schema.type:primary=array&schema.items>schema.oneOf:discriminated-union	src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::Builder::discriminated_union	
anyof-array-variant-oneof-discriminated-union-item	schema.anyOf>schema.type:primary=array&schema.items>schema.oneOf:discriminated-union	src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::Builder::discriminated_union	
anyof-array-variant-anyof-discriminated-union-item	schema.anyOf>schema.type:primary=array&schema.items>schema.anyOf:discriminated-union	src/ir.rs::InlineHoister::hoist_union_variant[^ {20}\) \{$],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::Builder::discriminated_union	
property-oneof-discriminated-union	schema.properties>schema.oneOf:discriminated-union	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::Builder::discriminated_union	
property-anyof-discriminated-union	schema.properties>schema.anyOf:discriminated-union	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$],src/ir.rs::InlineHoister::hoist_discriminated_union,src/ir.rs::Builder::discriminated_union	
array-item-pointer-walk-allof	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=allOf	src/ir.rs::resolve_schema_pointer[^\s*"allOf" => \{]	
array-item-pointer-walk-properties	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=properties	src/ir.rs::resolve_schema_pointer[^\s*"properties" => \{]	
array-item-pointer-walk-items	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=items	src/ir.rs::resolve_schema_pointer[^\s*"items" => \{]	
array-item-pointer-walk-anyof	schema.properties>schema.type:primary=array&schema.items>schema.$ref:pointer-walk-reaches=anyOf	src/ir.rs::resolve_schema_pointer[^\s*"anyOf" => \{]	
type-primary-object	schema.type:primary=object	src/ir.rs::is_object_type	
type-primary-scalar	schema.type:primary-scalar	src/ir.rs::declares_scalar_type	
allof-sole-member	schema.allOf:sole-member	src/ir.rs::sole_inline_all_of,src/ir.rs::InlineHoister::prop_type_ref[sole_inline_all_of\(prop_schema\) \{]	
array-item-composed	schema.items>!schema.type:primary-scalar&schema.allOf	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{],src/ir.rs::is_inline_struct	
array-item-empty-object	schema.items>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{],src/ir.rs::is_inline_struct	
anyof-array-variant-composed-item	schema.anyOf>schema.type:primary=array&schema.items>!schema.type:primary-scalar&schema.allOf	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
oneof-array-variant-composed-item	schema.oneOf>schema.type:primary=array&schema.items>!schema.type:primary-scalar&schema.allOf	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
oneof-array-variant-empty-object-item	schema.oneOf>schema.type:primary=array&schema.items>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
anyof-array-variant-empty-object-item	schema.anyOf>schema.type:primary=array&schema.items>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::hoist_union_variant[if item.reference.is_none\(\) && is_inline_struct\(item\) \{],src/ir.rs::is_inline_struct	
property-sole-inline-allof	schema.properties>!schema.$ref&!schema.additionalProperties&!schema.anyOf&!schema.enum&!schema.items&!schema.oneOf&!schema.properties&!schema.type&schema.allOf:sole-member&schema.allOf>!schema.$ref	src/ir.rs::InlineHoister::prop_type_ref[sole_inline_all_of\(prop_schema\) \{],src/ir.rs::sole_inline_all_of	
property-composed	schema.properties>!schema.type:primary-scalar&schema.allOf	src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{],src/ir.rs::is_inline_struct	
property-empty-object	schema.properties>!schema.additionalProperties&!schema.properties:non-empty&schema.properties&schema.type:primary=object	src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{],src/ir.rs::is_inline_struct	
array-item-residual	schema.items>!schema.$ref&!schema.additionalProperties=false&!schema.anyOf&!schema.anyOf:discriminated-union&!schema.discriminator:inheritance-union&!schema.oneOf&!schema.oneOf:discriminated-union&!schema.properties:non-empty&!schema.type:primary=array	src/ir.rs::full_type_ref_resolved	
oneof-variant-residual	schema.oneOf>!schema.$ref&!schema.allOf&!schema.anyOf&!schema.const:string-valued&!schema.enum:string-valued&!schema.oneOf&!schema.properties:non-empty	src/ir.rs::base_type_ref	
anyof-variant-residual	schema.anyOf>!schema.$ref&!schema.allOf&!schema.anyOf&!schema.const:string-valued&!schema.enum:string-valued&!schema.oneOf&!schema.properties:non-empty	src/ir.rs::base_type_ref	
annotated-ref-target-residual	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>!schema.additionalProperties=false&!schema.allOf&!schema.anyOf&!schema.const:string-valued&!schema.enum:string-valued&!schema.oneOf&!schema.properties:non-empty	src/ir.rs::InlineHoister::prop_type_ref[if let Some\(target\) = resolve_ref_from_schemas]	
property-oneof-residual	schema.properties>!schema.oneOf:discriminated-union&!schema.oneOf:sole-non-null-member&schema.oneOf	src/ir.rs::InlineHoister::prop_type_ref[self.out.push\(TypeDecl::Alias]	
property-anyof-residual	schema.properties>!schema.anyOf:discriminated-union&!schema.anyOf:sole-non-null-member&schema.anyOf	src/ir.rs::InlineHoister::prop_type_ref[self.out.push\(TypeDecl::Alias]	
property-residual	schema.properties>!schema.additionalProperties=false&!schema.anyOf&!schema.const:string-valued&!schema.enum:string-valued&!schema.oneOf&!schema.properties:non-empty&!schema.type:primary=array	src/ir.rs::base_type_ref	
enum-apostrophe-member	schema.enum:apostrophe-member	src/naming.rs::enum_words[if c == '\\'' \x7c\x7c]	
enum-digit-word-member	schema.enum:digit-word-member	src/naming.rs::digit_word,src/naming.rs::uuid_enum_identifier[if digit_len > 0 \{]	
enum-empty-identifier-member	schema.enum:empty-identifier-member	src/naming.rs::finalize_enum_ident[if name.is_empty\(\) \{]	
enum-empty-member	schema.enum:empty-member	src/naming.rs::enum_words[if value.is_empty\(\) \{]	
enum-leading-digit-identifier	schema.enum:leading-digit-identifier	src/naming.rs::finalize_enum_ident[if name.starts_with]	
enum-leading-zero-member	schema.enum:leading-zero-member	src/naming.rs::numeric_enum_identifier,src/naming.rs::enum_words[if has_leading_zero_identifier_segment \{]	
enum-normalized-collision	schema.enum:normalized-collision	src/ir.rs::dedupe	
enum-numeric-member	schema.enum:numeric-member	src/ir.rs::string_enum_values[if !is_string_type\(schema\) \{],src/ir.rs::string_enum_values[if strings.is_empty\(\) \{],src/ir.rs::is_int_enum	
enum-numeric-prefix-member	schema.enum:numeric-prefix-member	src/naming.rs::numeric_enum_identifier,src/naming.rs::enum_words[if digits > 0 \{]	
enum-reserved-member	schema.enum:reserved-member	src/naming.rs::finalize_enum_ident[if is_reserved\(&name\) \{],src/naming.rs::enum_visit_param[if name == "self" \{]	
enum-uuid-member	schema.enum:uuid-member	src/naming.rs::is_uuid,src/naming.rs::enum_identifier[if is_uuid\(value\) \{],src/naming.rs::uuid_enum_identifier	
enum-wildcard-member	schema.enum:wildcard-member	src/naming.rs::enum_words[if let Some\(words\) = whole_value_enum_words\(value\) \{],src/naming.rs::whole_value_enum_words	
schema-example-array	schema.example=array	src/ir.rs::schema_example,src/ir.rs::example_literal,src/openapi.rs::de_schema_examples,src/emit.rs::ExampleCtx::value_from_example[if let TypeRef::List\(inner\) \x7c TypeRef::Set\(inner\) = t \{]	
schema-example-boolean	schema.example=boolean	src/ir.rs::schema_example,src/ir.rs::example_literal,src/openapi.rs::de_schema_examples	
schema-example-null	schema.example=null	src/ir.rs::schema_example,src/ir.rs::example_literal,src/openapi.rs::de_schema_examples	
schema-example-number	schema.example=number	src/ir.rs::schema_example,src/ir.rs::example_literal,src/openapi.rs::de_schema_examples	
schema-example-string	schema.example=string	src/ir.rs::schema_example,src/ir.rs::example_literal,src/openapi.rs::de_schema_examples	
securityscheme-type-apikey	securityScheme.type=apiKey	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::additional_api_key_global_headers,src/ir.rs::is_auth_managed_header,src/openapi.rs::load[for \(scheme_name.* in &doc\.components\.security_schemes \{],src/emit.rs::auth_wrapper_parts,src/emit.rs::auth_client_parts,src/emit.rs::auth_example_args,src/emit.rs::documentation_auth_example_args	
securityscheme-type-http	securityScheme.type=http	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[HttpAuthScheme::Bearer\) => \{],src/ir.rs::auth_model[HttpAuthScheme::Basic\) => \{],src/ir.rs::auth_model[selected\.is_none_or\(\x7cscheme\x7c \{],src/ir.rs::operation_uses_basic_auth,src/ir.rs::is_auth_managed_header,src/emit.rs::client_wrapper_file[if basic_auth \{],src/emit.rs::auth_wrapper_parts,src/emit.rs::auth_client_parts,src/emit.rs::auth_example_args,src/emit.rs::documentation_auth_example_args	
securityscheme-type-oauth2	securityScheme.type=oauth2	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[SecuritySchemeType::OAuth2 => Auth::Bearer \{],src/ir.rs::auth_model[selected\.is_none_or\(\x7cscheme\x7c \{],src/ir.rs::oauth_scope_enum,src/ir.rs::build[if let Some\(oauth_scope\) = oauth_scope_enum\(doc\) \{],src/ir.rs::body_response_same_ref,src/ir.rs::is_auth_managed_header	
securityscheme-type-openidconnect	securityScheme.type=openIdConnect	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[_ => Auth::Bearer \{]	
mutualTLS	securityScheme.type=mutualTLS	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[_ => Auth::Bearer \{]	
securityscheme-description	securityScheme.description	none	
securityscheme-name	securityScheme.name	src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::additional_api_key_global_headers,src/ir.rs::is_auth_managed_header,src/openapi.rs::load[for \(scheme_name.* in &doc\.components\.security_schemes \{]	
apikey-header	securityScheme.in=header	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::additional_api_key_global_headers,src/ir.rs::is_auth_managed_header	
apiKey-cookie	securityScheme.in=cookie	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::additional_api_key_global_headers	
http-basic	securityScheme.scheme=basic	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[HttpAuthScheme::Basic\) => \{],src/ir.rs::operation_uses_basic_auth,src/emit.rs::client_wrapper_file[if basic_auth \{],src/emit.rs::auth_wrapper_parts,src/emit.rs::auth_client_parts,src/emit.rs::auth_example_args,src/emit.rs::documentation_auth_example_args	
http-bearer	securityScheme.scheme=bearer	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[HttpAuthScheme::Bearer\) => \{],src/ir.rs::auth_model[selected\.is_none_or\(\x7cscheme\x7c \{],src/ir.rs::is_auth_managed_header,src/emit.rs::auth_wrapper_parts,src/emit.rs::auth_client_parts,src/emit.rs::auth_example_args,src/emit.rs::documentation_auth_example_args	
http-negotiate	securityScheme.scheme=negotiate	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[_ => Auth::Bearer \{]	
http-dpop	securityScheme.scheme=dpop,securityScheme.scheme=DPoP	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[_ => Auth::Bearer \{]	
http-mutual	securityScheme.scheme=mutual	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::auth_model[_ => Auth::Bearer \{]	
securityscheme-bearerformat	securityScheme.bearerFormat	none	
securityscheme-openidconnecturl	securityScheme.openIdConnectUrl	none	
securityscheme-flows	securityScheme.flows	src/ir.rs::oauth_scope_enum	
securityscheme-ref	securityScheme:$ref	src/openapi.rs::normalize_security_scheme_refs	
oauth2-implicit	securityScheme.flows.implicit	src/ir.rs::oauth_scope_enum	
oauth2-password	securityScheme.flows.password	src/ir.rs::oauth_scope_enum	
oauth2-clientcredentials	securityScheme.flows.clientCredentials	src/ir.rs::oauth_scope_enum	
oauth2-authorizationcode	securityScheme.flows.authorizationCode	src/ir.rs::oauth_scope_enum	
oauth2-multiple-flows	securityScheme.flows	src/ir.rs::oauth_scope_enum	
oauthflow-authorizationurl	securityScheme.flows.authorizationCode.authorizationUrl	none	
oauthflow-tokenurl	securityScheme.flows.authorizationCode.tokenUrl,securityScheme.flows.clientCredentials.tokenUrl	none	
oauthflow-refreshurl	securityScheme.flows.clientCredentials.refreshUrl	none	
oauthflow-scopes	securityScheme.flows.authorizationCode.scopes,securityScheme.flows.clientCredentials.scopes	src/ir.rs::oauth_scope_enum,src/ir.rs::build[if let Some\(oauth_scope\) = oauth_scope_enum\(doc\) \{]	
security-requirement-scopes-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-requirement-scopes-operation	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-requirement-noscopes-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-requirement-noscopes-operation	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-optional-requirement-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref	
security-optional-requirement-operation	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref	
security-empty-list-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref	
security-empty-list-operation	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref	
security-alternatives-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
operation-security-alternatives	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-conjunction-document	openapi.security	src/ir.rs::all_operations_authenticated,src/ir.rs::auth_model[^\s*Auth::ApiKey \{$],src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
security-conjunction-operation	operation.security	src/ir.rs::all_operations_authenticated,src/ir.rs::body_response_same_ref,src/ir.rs::operation_uses_basic_auth	
components-securityschemes	components.securitySchemes	src/openapi.rs::normalize_security_scheme_refs,src/openapi.rs::load[for \(scheme_name.* in &doc\.components\.security_schemes \{],src/ir.rs::auth_model[find\(\x7cscheme\x7c \{],src/ir.rs::additional_api_key_global_headers,src/ir.rs::oauth_scope_enum	`src/ir.rs::auth_model`'s empty-`securitySchemes` arm is the absence arm
schema-name-nonidentifier-name	components.schemas:nonidentifier-name	src/naming.rs::class_name	
